type,price,station,beds,baths,receptions,post_code,location
detached,750000.0,,4,2,2,WA14,altrincham
detached,570000.0,,4,2,4,BL9,bury
terraced,95000.0,0.7,2,1,1,WN1,wigan
semi-detached,147995.0,,2,1,2,OL11,rochdale
detached,262995.0,,4,2,2,OL11,rochdale
semi-detached,159950.0,0.8,3,0,0,BL4,bolton
semi-detached,220000.0,,3,2,1,BL1,bolton
flat,283000.0,0.4,2,2,1,M16,manchester
flat,210000.0,0.4,2,1,0,M4,manchester
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,115500.0,1.0,1,0,0,SK1,stockport
flat,190000.0,0.8,1,1,1,M5,salford
flat,150000.0,0.2,1,1,1,M4,manchester
flat,275000.0,0.3,2,2,1,M1,manchester
flat,135000.0,0.2,1,1,1,M3,manchester
semi-detached,499950.0,0.7,3,1,2,SK7,stockport
semi-detached,220000.0,0.5,2,1,1,SK8,cheadle
semi-detached,350000.0,0.4,3,1,2,SK7,stockport
flat,400000.0,1.4,2,2,1,WA15,altrincham
end terrace,425000.0,1.9,3,1,2,M21,manchester
detached,1000000.0,0.7,4,2,2,SK7,stockport
detached,360000.0,2.3,5,3,2,WN6,lancashire
detached,1300000.0,,4,3,2,WA14,altrincham
terraced,140000.0,,2,1,1,OL5,ashtonunderlyne
semi-detached,240000.0,3.1,3,2,2,WN7,manchester
terraced,110000.0,2.4,2,1,1,WN7,manchester
flat,105000.0,0.8,2,1,1,M5,salford
semi-detached,160000.0,,2,1,1,M27,manchester
flat,282500.0,0.5,2,2,1,M4,manchester
terraced,185000.0,3.8,3,1,1,BL0,bury
flat,115500.0,0.6,1,1,0,M16,manchester
end terrace,240000.0,,3,2,2,OL4,oldham
flat,279950.0,0.8,2,2,0,M5,manchester
flat,145000.0,,2,1,1,BL9,bury
detached,425000.0,1.8,4,2,2,M16,manchester
flat,325000.0,0.4,2,1,1,M2,manchester
flat,225000.0,0.4,1,1,1,M2,manchester
terraced,75000.0,0.9,2,1,0,BL3,bolton
terraced,65000.0,1.0,2,1,0,WN5,wigan
flat,210000.0,0.4,1,1,1,M5,manchester
semi-detached,310000.0,0.9,4,2,0,WA15,altrincham
semi-detached,200000.0,1.1,3,2,2,WN4,wigan
flat,100000.0,0.9,1,1,1,M7,manchester
terraced,195000.0,0.7,2,1,1,SK2,cheshire
semi-detached,310000.0,0.4,4,2,2,SK14,hyde
semi-detached,450000.0,1.2,3,0,0,M21,manchester
terraced,105000.0,0.4,2,0,0,M46,manchester
terraced,99950.0,0.5,2,0,0,M46,manchester
flat,60000.0,0.6,2,0,0,M46,manchester
flat,80000.0,2.7,2,0,0,WN7,leigh
flat,331000.0,0.4,2,0,0,M3,salford
terraced,85000.0,2.8,3,0,0,WN7,leigh
flat,351000.0,0.4,2,0,0,M3,salford
terraced,542500.0,0.4,2,0,0,M2,manchester
semi-detached,320000.0,0.4,3,1,2,M19,manchester
terraced,185000.0,1.1,3,1,0,M43,manchester
flat,90000.0,0.1,1,1,0,SK15,stalybridge
flat,219950.0,0.8,2,2,0,M5,manchester
terraced,80000.0,1.4,3,2,1,WN8,skelmersdale
terraced,85000.0,1.4,4,2,1,WN8,skelmersdale
terraced,120000.0,1.1,2,1,1,M29,manchester
flat,220000.0,0.1,3,0,0,M1,manchester
flat,186950.0,0.3,1,1,0,M3,salford
flat,186950.0,0.3,1,1,0,M3,salford
flat,179950.0,0.3,1,1,0,M3,salford
flat,175000.0,0.3,1,1,0,M3,salford
flat,234995.0,0.9,2,2,0,M5,manchester
semi-detached,260000.0,0.7,3,1,2,M16,manchester
flat,99950.0,2.2,2,2,1,WN7,manchester
semi-detached,180000.0,0.6,3,1,1,WN3,wigan
semi-detached,220000.0,1.2,3,1,2,M44,manchester
flat,177950.0,0.3,1,1,0,M3,manchester
flat,179950.0,0.3,2,2,0,M3,manchester
terraced,170000.0,3.2,3,0,0,OL12,rochdale
flat,230000.0,0.3,1,1,0,M3,manchester
semi-detached,220000.0,0.4,3,1,1,M40,manchester
terraced,180000.0,1.4,2,1,2,M14,manchester
flat,276950.0,0.8,2,2,0,M5,manchester
semi-detached,210000.0,1.8,3,1,1,M23,manchester
semi-detached,180000.0,0.3,3,1,1,WN6,wigan
flat,541805.0,0.2,3,1,1,M15,manchester
flat,240327.0,0.2,1,1,1,M15,manchester
flat,130000.0,,3,1,1,BL4,bolton
flat,467071.0,0.2,2,1,1,M15,manchester
flat,259275.0,0.2,1,1,1,M15,manchester
semi-detached,235000.0,1.7,3,1,2,M29,manchester
flat,248000.0,0.5,2,2,1,M5,salford
semi-detached,285000.0,,3,1,1,M27,manchester
end terrace,179995.0,0.9,3,1,2,BL6,bolton
flat,553434.0,0.2,2,1,1,M15,manchester
flat,1473684.0,0.2,3,1,1,M15,manchester
flat,508189.0,0.2,3,1,1,M15,manchester
flat,504828.0,0.3,3,1,1,M3,manchester
flat,145000.0,0.5,1,1,1,M5,manchester
end terrace,200000.0,0.9,2,1,1,M27,manchester
flat,65000.0,0.6,1,1,1,M16,manchester
flat,493011.0,0.3,3,1,1,M3,manchester
flat,69995.0,0.6,1,1,1,M16,manchester
flat,140000.0,0.7,1,1,1,M4,manchester
flat,453558.0,0.3,3,1,1,M3,manchester
flat,432847.0,0.2,2,1,1,M15,manchester
flat,422700.0,0.5,2,1,1,M5,salford
flat,100000.0,0.0,1,1,0,M3,manchester
flat,155000.0,0.0,1,1,1,M3,manchester
flat,165000.0,0.0,1,1,1,M3,manchester
flat,185000.0,0.0,2,1,1,M3,manchester
semi-detached,160000.0,,3,1,1,OL5,ashtonunderlyne
flat,130000.0,,2,1,1,M5,salford
terraced,150000.0,,3,2,1,M27,manchester
end terrace,375000.0,0.5,3,0,0,SK6,stockport
flat,230000.0,0.0,2,1,1,M3,manchester
flat,99000.0,0.7,1,1,0,M4,manchester
flat,55000.0,0.6,1,1,1,M16,manchester
terraced,250000.0,1.4,3,1,2,OL4,oldham
flat,60000.0,0.6,1,1,1,M16,manchester
terraced,225000.0,0.4,3,1,2,SK15,stalybridge
flat,110000.0,0.3,1,1,1,M2,manchester
flat,290000.0,0.1,2,1,1,M4,manchester
flat,280000.0,0.7,2,1,1,M17,manchester
semi-detached,140000.0,1.0,2,1,2,BL1,bolton
flat,280000.0,0.1,1,1,1,M4,manchester
flat,270086.0,0.1,1,1,1,M4,manchester
detached,425000.0,0.1,5,3,5,BL5,bolton
flat,115000.0,1.4,2,1,1,M8,manchester
flat,90000.0,0.5,1,1,0,M5,salford
semi-detached,250000.0,1.0,3,1,2,SK3,stockport
flat,135000.0,0.3,1,1,1,M2,manchester
flat,190000.0,0.9,1,1,1,M50,salford
semi-detached,129995.0,,2,1,2,WN2,wigan
semi-detached,129995.0,,2,1,2,WN2,wigan
semi-detached,149995.0,,3,1,2,WN2,wigan
semi-detached,164995.0,,3,1,2,WN2,wigan
semi-detached,164995.0,,3,1,2,WN2,wigan
detached,244995.0,,4,2,2,WN2,wigan
semi-detached,139995.0,2.2,2,1,2,WN8,skelmersdale
semi-detached,139995.0,2.2,2,1,2,WN8,skelmersdale
semi-detached,184995.0,2.2,3,1,2,WN8,skelmersdale
semi-detached,164995.0,2.2,3,1,2,WN8,skelmersdale
detached,199995.0,2.2,3,1,2,WN8,skelmersdale
detached,194995.0,2.2,3,1,2,WN8,skelmersdale
semi-detached,179995.0,2.2,3,1,2,WN8,skelmersdale
semi-detached,174995.0,2.2,3,2,2,WN8,skelmersdale
detached,218050.0,1.1,4,2,2,WN8,skelmersdale
semi-detached,220000.0,2.0,3,0,0,M23,manchester
terraced,110000.0,,2,1,1,OL6,ashtonunderlyne
semi-detached,199950.0,,3,1,1,BL1,bolton
terraced,119995.0,0.3,2,2,2,WN2,wigan
flat,192995.0,0.9,2,2,0,M5,manchester
terraced,361995.0,0.6,4,2,0,M13,manchester
terraced,362995.0,0.6,4,2,0,M13,manchester
terraced,362995.0,0.6,4,2,0,M13,manchester
end terrace,369995.0,0.6,4,2,0,M13,manchester
terraced,130000.0,2.6,2,1,2,WN7,leigh
flat,180000.0,0.8,2,1,2,SK7,stockport
terraced,350000.0,1.8,2,1,2,M33,sale
flat,239950.0,0.3,2,2,0,M3,manchester
detached,750000.0,0.9,5,1,2,SK8,cheadle
flat,274950.0,0.8,2,2,0,M5,manchester
flat,200000.0,0.8,2,2,0,M5,manchester
detached,175000.0,,3,0,0,BL9,lancashire
flat,200000.0,0.7,2,2,0,M5,manchester
flat,255000.0,0.1,3,3,0,M1,manchester
flat,299950.0,0.2,2,2,0,M3,manchester
semi-detached,275000.0,0.6,3,1,1,SK8,cheadle
semi-detached,240000.0,,3,0,0,BL8,lancashire
flat,204950.0,0.3,2,2,0,M3,manchester
flat,126950.0,0.6,1,1,0,M16,manchester
flat,100000.0,0.6,1,1,0,M16,manchester
flat,190000.0,0.3,1,1,0,M3,salford
flat,189995.0,0.3,1,1,0,M3,salford
flat,194995.0,0.9,2,2,0,M5,manchester
semi-detached,165000.0,,3,1,1,M26,manchester
flat,185000.0,0.1,2,2,0,M1,manchester
flat,237950.0,0.3,2,2,0,M3,manchester
detached,525000.0,0.9,3,2,3,WA14,altrincham
end terrace,180000.0,1.1,3,2,1,M30,manchester
flat,90000.0,0.5,2,1,1,BL3,bolton
flat,170000.0,0.3,1,1,1,M4,manchester
flat,65000.0,,1,1,1,BL4,bolton
flat,300000.0,0.6,2,1,1,M4,manchester
flat,295000.0,0.6,2,1,1,M4,manchester
flat,235000.0,0.6,1,1,1,M4,manchester
flat,290000.0,0.5,2,2,1,M3,manchester
flat,319950.0,0.8,3,3,0,M5,manchester
flat,395000.0,0.3,3,2,1,M3,salford
flat,277950.0,0.8,2,2,0,M5,manchester
flat,295000.0,0.3,2,1,1,M3,salford
flat,268500.0,0.0,1,1,1,M1,manchester
flat,200000.0,0.3,1,1,1,M3,salford
semi-detached,295000.0,0.9,3,1,0,SK6,stockport
terraced,235000.0,0.6,3,1,1,SK7,manchester
semi-detached,225000.0,,3,1,2,OL7,ashtonunderlyne
terraced,190000.0,1.5,3,1,1,M14,manchester
terraced,135000.0,1.2,2,1,1,M29,manchester
terraced,70000.0,,2,1,1,BL9,bury
flat,130000.0,0.8,2,2,1,SK14,manchester
semi-detached,400000.0,0.4,4,2,2,M19,manchester
detached,95000.0,1.7,3,2,1,M8,manchester
flat,349000.0,0.3,2,2,1,M3,manchester
flat,216950.0,0.7,2,2,0,M5,manchester
flat,200000.0,0.5,2,1,1,OL3,oldham
flat,275000.0,0.4,1,1,0,M3,salford
terraced,340000.0,0.4,3,1,0,SK6,stockport
terraced,159995.0,,3,2,1,BL9,bury
semi-detached,270000.0,0.5,3,1,2,SK2,stockport
semi-detached,170000.0,1.4,2,1,1,M40,manchester
terraced,140000.0,0.8,2,0,0,WN1,wigan
flat,125000.0,,2,2,1,M26,manchester
end terrace,115000.0,2.6,2,1,1,WN7,leigh
flat,135000.0,,2,1,0,M45,manchester
flat,366000.0,0.4,2,2,0,M4,manchester
semi-detached,169950.0,1.7,2,1,1,OL12,rochdale
terraced,110000.0,,2,0,0,BL9,bury
flat,170000.0,,2,2,1,M30,manchester
terraced,195000.0,,2,1,1,BL1,bolton
flat,199999.0,0.2,1,1,1,M41,manchester
semi-detached,265000.0,4.5,3,1,2,BL0,manchester
end terrace,160000.0,1.2,2,1,1,M28,manchester
semi-detached,230000.0,0.1,3,1,2,SK5,stockport
semi-detached,220000.0,0.6,4,2,4,M28,manchester
semi-detached,230000.0,0.9,3,1,2,M43,manchester
terraced,230000.0,1.0,3,1,2,SK1,stockport
end terrace,210000.0,1.1,3,0,0,M23,manchester
semi-detached,295000.0,1.7,4,0,0,BL4,bolton
semi-detached,159999.0,0.8,3,0,0,BL4,bolton
terraced,198000.0,1.8,3,2,0,OL8,manchester
flat,265000.0,0.4,2,2,1,M5,salford
semi-detached,260000.0,0.3,3,1,1,SK7,manchester
flat,220000.0,0.1,2,2,1,M3,manchester
terraced,91000.0,0.4,3,1,3,BL4,bolton
semi-detached,259950.0,0.3,2,1,1,M19,stockport
semi-detached,600000.0,1.7,4,2,3,M33,sale
semi-detached,280000.0,,3,2,1,OL5,ashtonunderlyne
semi-detached,325000.0,0.6,3,1,2,SK8,cheadle
terraced,100000.0,2.5,2,1,1,WN7,manchester
semi-detached,214995.0,,3,0,0,M26,lancashire
semi-detached,220000.0,,2,1,2,M27,manchester
end terrace,140000.0,0.1,2,1,2,SK14,hyde
semi-detached,135000.0,1.3,2,1,1,WN2,wigan
detached,294950.0,,4,3,1,OL11,rochdale
flat,450000.0,0.4,3,2,1,M2,manchester
end terrace,150000.0,1.6,3,1,2,BL3,bolton
flat,325000.0,0.4,2,1,1,M2,manchester
terraced,99950.0,1.0,2,1,1,BL2,bolton
semi-detached,270000.0,0.1,3,1,0,SK6,stockport
flat,225000.0,0.4,1,1,1,M2,manchester
semi-detached,250000.0,1.0,3,1,1,M22,manchester
semi-detached,215000.0,1.0,3,1,1,M44,manchester
semi-detached,300000.0,0.2,3,3,1,M28,manchester
end terrace,165000.0,,3,1,1,OL2,oldham
terraced,145000.0,1.8,3,1,0,OL8,oldham
flat,174950.0,1.9,1,1,1,M33,sale
terraced,140000.0,,3,1,1,OL6,ashtonunderlyne
detached,400000.0,,4,1,2,BL8,bury
semi-detached,220000.0,,3,1,1,BL4,bolton
end terrace,120000.0,0.6,2,1,1,M46,manchester
detached,585000.0,0.5,4,2,2,SK14,hyde
terraced,160000.0,1.5,2,1,1,M40,manchester
terraced,240000.0,,3,1,1,BL0,bury
flat,230000.0,0.5,1,1,1,M4,manchester
flat,242950.0,0.8,2,2,0,M5,manchester
flat,270000.0,0.8,2,2,0,M5,manchester
flat,199950.0,0.6,2,2,0,M6,manchester
flat,420000.0,0.3,3,3,0,M3,salford
semi-detached,249950.0,,3,1,2,OL2,oldham
flat,190000.0,0.3,1,1,0,M3,salford
semi-detached,190000.0,0.8,2,1,1,SK6,manchester
flat,246950.0,0.7,2,2,0,M5,manchester
semi-detached,320000.0,0.4,3,1,2,SK14,hyde
terraced,155000.0,1.7,2,1,1,M28,manchester
semi-detached,375000.0,1.3,3,1,2,WA14,altrincham
flat,220000.0,0.3,2,1,1,M20,manchester
flat,140000.0,,2,1,1,BL9,bury
end terrace,140000.0,3.1,2,1,1,WN7,manchester
terraced,200000.0,0.4,2,1,2,M28,manchester
end terrace,145000.0,1.2,3,1,1,BL3,manchester
flat,419493.0,0.3,2,1,1,M3,manchester
flat,418526.0,0.2,2,1,1,M15,manchester
flat,175995.0,0.9,1,1,1,M50,salford
end terrace,145000.0,1.6,3,1,1,WN2,wigan
detached,695000.0,1.0,4,1,3,M27,manchester
semi-detached,210000.0,,3,0,0,M27,manchester
detached,230000.0,1.0,3,1,2,M27,manchester
flat,225000.0,0.2,1,1,1,M1,manchester
flat,380500.0,0.5,2,1,1,M5,salford
flat,329995.0,0.9,3,1,1,M50,salford
flat,360060.0,0.3,2,1,1,M3,manchester
flat,369995.0,1.3,3,1,1,M16,manchester
flat,328800.0,0.5,2,1,1,M5,salford
detached,275000.0,0.4,3,2,3,OL16,rochdale
semi-detached,160000.0,1.5,2,1,0,M38,manchester
flat,299995.0,0.9,2,1,1,M50,salford
flat,220000.0,0.4,2,2,1,M4,manchester
semi-detached,250000.0,,3,1,2,M45,manchester
semi-detached,325000.0,,3,1,2,BL8,manchester
semi-detached,350000.0,,3,2,2,BL7,bolton
terraced,80000.0,3.9,1,1,1,BL0,bury
flat,204995.0,1.3,1,1,1,M16,manchester
flat,296707.0,0.2,1,1,1,M15,manchester
semi-detached,270000.0,,3,1,2,M45,manchester
terraced,119995.0,0.3,2,1,1,WN2,wigan
detached,295000.0,,3,2,2,BL1,bolton
terraced,70000.0,0.1,2,1,0,M34,manchester
flat,349995.0,0.2,2,2,0,M15,manchester
flat,249995.0,0.2,1,1,0,M15,manchester
terraced,110000.0,1.2,2,1,1,BL3,bolton
terraced,124950.0,0.3,2,1,2,WN2,wigan
terraced,175000.0,0.7,3,1,2,M13,manchester
flat,189950.0,1.9,1,1,1,M33,sale
flat,283000.0,0.4,2,2,1,M16,manchester
flat,190000.0,0.8,1,1,1,M5,salford
flat,360000.0,0.8,3,0,0,M5,salford
flat,195000.0,0.8,2,2,1,M5,salford
flat,210000.0,0.4,2,1,0,M4,manchester
semi-detached,165000.0,0.5,2,1,1,M43,manchester
semi-detached,189000.0,0.9,3,1,1,M43,manchester
terraced,100000.0,1.9,3,2,1,M9,manchester
flat,225000.0,0.6,2,2,1,WA14,altrincham
flat,400000.0,0.0,2,2,1,M1,manchester
semi-detached,210000.0,,3,2,2,OL6,ashtonunderlyne
semi-detached,215000.0,1.1,3,1,3,BL6,bolton
terraced,180000.0,,3,1,1,OL5,ashtonunderlyne
semi-detached,290000.0,,3,1,1,M27,manchester
semi-detached,190000.0,1.9,3,1,0,M8,manchester
semi-detached,285000.0,0.5,3,1,2,M30,manchester
end terrace,900000.0,,5,2,3,WA15,altrincham
end terrace,395000.0,,3,1,3,WA15,altrincham
terraced,350000.0,0.2,2,1,0,WA15,altrincham
flat,185000.0,0.5,2,1,1,WA14,altrincham
semi-detached,275000.0,,3,1,2,M27,manchester
terraced,140000.0,1.2,2,1,1,M40,manchester
flat,130000.0,0.7,2,1,1,M5,salford
end terrace,350000.0,1.5,4,1,2,M6,salford
flat,210000.0,0.4,2,1,1,M30,manchester
terraced,190000.0,0.5,3,1,1,M30,manchester
semi-detached,200000.0,,3,1,1,M6,salford
end terrace,170000.0,1.2,3,2,1,M30,manchester
detached,350000.0,0.4,4,3,2,M30,manchester
terraced,165000.0,,2,1,2,M6,salford
terraced,175000.0,0.7,2,1,1,M6,salford
flat,100000.0,0.4,2,1,1,M30,manchester
semi-detached,525000.0,,4,1,3,M25,manchester
flat,125000.0,0.5,1,0,0,SK1,stockport
terraced,160000.0,0.7,2,0,0,SK6,cheshire
detached,280000.0,0.6,3,2,1,SK16,manchester
detached,495000.0,,3,1,2,BL8,bury
flat,239950.0,1.1,2,1,1,M20,manchester
flat,395000.0,0.3,3,2,1,M3,salford
flat,295000.0,0.3,2,1,1,M3,salford
detached,350000.0,1.2,5,1,2,SK14,hyde
flat,350000.0,0.2,2,2,0,M15,manchester
flat,200000.0,0.3,1,1,1,M3,salford
semi-detached,295000.0,1.1,3,3,3,SK15,stalybridge
flat,250995.0,0.8,2,2,0,M50,manchester
flat,177995.0,0.8,1,1,0,M50,manchester
flat,299995.0,0.1,2,1,1,M4,manchester
flat,290000.0,0.7,2,1,1,M17,manchester
flat,70000.0,0.6,1,1,1,M16,manchester
flat,125000.0,0.9,1,1,1,M50,manchester
flat,130000.0,0.0,1,1,0,M3,manchester
flat,130000.0,0.3,1,1,0,M1,manchester
flat,195000.0,0.0,2,1,1,M3,manchester
flat,100000.0,0.3,1,1,1,M2,manchester
flat,180000.0,0.5,2,1,1,M5,salford
flat,170000.0,0.5,2,1,1,M5,salford
flat,220000.0,0.1,1,1,0,M1,manchester
flat,180000.0,0.1,1,1,0,M1,manchester
flat,130000.0,0.9,1,1,0,M50,manchester
flat,59995.0,0.6,1,1,1,M16,manchester
flat,200000.0,0.9,1,1,1,M50,salford
flat,79995.0,0.6,1,1,1,M16,manchester
flat,185000.0,0.6,1,1,0,M16,manchester
flat,177950.0,0.8,1,1,0,M5,manchester
flat,190000.0,0.3,1,1,0,M3,salford
flat,188950.0,0.3,1,1,0,M3,salford
flat,186950.0,0.3,1,1,0,M3,salford
terraced,500000.0,1.9,4,3,3,M33,sale
detached,850000.0,1.4,5,3,3,M33,sale
flat,222950.0,0.7,2,2,0,M5,manchester
flat,585000.0,,2,2,1,WA14,altrincham
flat,214995.0,0.1,2,2,0,M1,manchester
flat,137000.0,0.4,1,1,0,M3,manchester
flat,274950.0,0.8,2,2,0,M5,manchester
flat,180000.0,0.1,1,1,0,M3,manchester
flat,276995.0,0.3,2,2,0,M3,salford
flat,149950.0,0.7,1,1,0,M5,manchester
flat,155500.0,0.9,1,1,0,M5,manchester
semi-detached,135000.0,1.3,2,1,1,BL4,manchester
terraced,160000.0,0.9,3,0,0,WN6,wigan
semi-detached,230000.0,,3,1,1,M6,manchester
flat,130500.0,0.4,1,1,0,M3,manchester
flat,125500.0,0.4,1,1,0,M3,manchester
terraced,145000.0,0.7,3,1,2,BL2,bolton
flat,334995.0,0.4,2,2,0,M4,manchester
flat,172995.0,0.9,1,1,0,M50,manchester
flat,235000.0,0.9,2,2,0,M50,manchester
flat,355000.0,0.5,2,1,0,M15,manchester
flat,150000.0,0.8,1,1,1,WA14,altrincham
flat,325000.0,0.4,2,2,0,M4,manchester
semi-detached,575000.0,1.0,4,2,2,M33,sale
semi-detached,160000.0,0.2,3,1,2,M46,manchester
detached,475000.0,,4,1,3,BL9,bury
end terrace,130000.0,,2,1,1,OL5,ashtonunderlyne
flat,220000.0,0.6,2,1,0,WA14,manchester
semi-detached,495000.0,1.6,4,2,4,M33,manchester
semi-detached,130000.0,1.1,2,1,1,WN4,wigan
end terrace,200000.0,1.3,3,1,1,M14,manchester
flat,275000.0,0.4,2,2,2,M1,manchester
flat,280000.0,0.3,2,2,2,M3,manchester
flat,120000.0,0.9,1,1,1,M5,salford
flat,210000.0,0.3,1,1,1,M3,manchester
flat,320000.0,0.3,3,2,2,M3,manchester
flat,200000.0,0.3,1,1,1,M3,manchester
flat,185000.0,0.5,2,2,2,M3,manchester
flat,210000.0,0.3,1,1,1,M3,manchester
flat,350000.0,0.5,3,2,2,M3,manchester
flat,105000.0,0.9,1,1,1,M5,manchester
flat,240000.0,0.2,2,2,2,M1,manchester
flat,275000.0,0.9,3,2,2,M5,salford
flat,250000.0,0.3,1,1,1,M3,manchester
flat,220000.0,0.9,3,2,2,M5,salford
flat,199000.0,0.4,1,1,0,M4,manchester
flat,195000.0,0.4,1,1,0,M4,manchester
flat,245000.0,0.5,2,2,2,M3,manchester
flat,275000.0,0.2,2,2,2,M1,manchester
flat,260000.0,0.3,1,1,1,M3,manchester
flat,285350.0,0.7,2,2,1,M5,salford
flat,230000.0,0.4,2,1,1,M4,manchester
flat,320000.0,0.3,2,2,2,M3,manchester
flat,270000.0,0.3,2,2,2,M3,manchester
flat,215000.0,0.2,1,1,1,M1,manchester
flat,230000.0,0.2,1,1,1,M1,manchester
flat,145000.0,0.5,1,1,1,M3,manchester
flat,250000.0,0.8,3,2,1,M5,manchester
flat,225000.0,0.4,2,2,2,M1,manchester
semi-detached,420000.0,0.4,3,1,3,SK8,cheadle
terraced,130000.0,1.2,3,1,1,WN4,wigan
semi-detached,499950.0,1.7,4,2,3,M21,manchester
terraced,315000.0,1.4,2,1,2,M33,sale
detached,950000.0,1.5,4,3,3,WA15,altrincham
terraced,830000.0,,4,2,2,WA14,altrincham
flat,172950.0,0.8,1,1,0,M5,manchester
terraced,180000.0,0.3,2,1,1,M28,manchester
flat,265000.0,0.5,1,1,0,M5,salford
terraced,140000.0,1.0,2,1,2,M6,salford
flat,175500.0,0.3,1,1,0,M3,salford
flat,279950.0,0.3,2,2,0,M3,salford
flat,172950.0,0.7,1,1,0,M5,manchester
flat,349995.0,0.2,2,2,0,M15,manchester
flat,275000.0,0.6,3,3,0,M5,manchester
flat,229995.0,0.1,2,2,0,M1,manchester
flat,229995.0,0.2,1,1,0,M15,manchester
flat,190000.0,0.4,1,1,0,M3,manchester
flat,72950.0,0.3,1,1,0,M3,manchester
flat,224950.0,0.8,2,2,0,M5,manchester
end terrace,170000.0,0.8,3,1,2,M46,manchester
flat,160000.0,,2,2,0,M30,manchester
flat,132000.0,,1,1,0,M30,manchester
terraced,80000.0,0.7,1,0,0,OL12,rochdale
flat,140000.0,0.9,2,1,1,M15,manchester
flat,110000.0,0.3,2,1,1,M28,manchester
flat,330000.0,0.5,2,2,1,M15,manchester
flat,150000.0,0.9,1,1,0,M5,manchester
semi-detached,330000.0,,3,2,2,OL6,manchester
detached,370000.0,,4,2,2,OL7,manchester
flat,115000.0,0.1,1,1,0,M1,manchester
semi-detached,230000.0,,4,1,3,OL6,manchester
flat,220000.0,0.9,2,2,0,M5,manchester
flat,237500.0,0.3,1,1,1,M3,manchester
flat,525000.0,0.5,3,2,2,M15,manchester
flat,235950.0,0.7,2,2,1,M5,salford
flat,269350.0,0.8,2,2,1,M5,manchester
flat,290000.0,0.1,2,2,2,M3,manchester
flat,239000.0,0.5,1,1,1,M15,manchester
flat,185350.0,0.8,2,2,1,M5,manchester
flat,189000.0,0.7,1,1,1,M5,salford
flat,175000.0,0.1,1,1,0,M3,manchester
flat,176000.0,0.8,1,1,1,M5,manchester
flat,250000.0,0.3,2,2,2,M4,manchester
flat,315000.0,0.5,2,2,1,M15,manchester
flat,250000.0,0.1,2,2,2,M3,manchester
flat,324000.0,0.5,2,2,1,M15,manchester
flat,275000.0,0.1,2,2,2,M3,manchester
flat,174000.0,0.8,1,1,1,M5,manchester
flat,274000.0,0.5,1,1,1,M15,manchester
flat,190000.0,0.3,1,1,1,M4,manchester
flat,180600.0,1.1,2,1,0,M40,manchester
flat,155000.0,0.5,1,2,1,M5,manchester
flat,295000.0,0.4,2,2,2,M4,manchester
flat,200000.0,0.5,2,2,2,M5,manchester
flat,245000.0,0.4,2,2,2,M1,manchester
flat,290000.0,0.5,3,2,2,M5,manchester
flat,270000.0,0.3,2,2,2,M4,manchester
flat,207000.0,0.3,1,1,1,M4,manchester
flat,230000.0,0.3,2,2,2,M4,manchester
terraced,200000.0,0.4,2,0,0,SK3,stockport
flat,287950.0,0.3,2,2,0,M3,salford
